Rval = 0x00000000, AmbaDSP_ImageUtility.c, AmbaIK_QueryArchMemorySize(), ID = 0, description : OK case
Rval = 0x00000000, AmbaDSP_ImageUtility.c, AmbaIK_InitArch(), ID = 1, description : OK case
Rval = 0x00000000, AmbaDSP_ImageUtility.c, AmbaIK_InitDefBinary(), ID = 2, description : OK case
Rval = 0x00000000, AmbaDSP_ImageUtility.c, AmbaIK_InitContext(), ID = 3, description : OK case
Rval = 0x01100005, AmbaDSP_ImgExecuterUnitWindowCalc.c, exe_win_calc(), ID = 4, description : null-ptr fail case
Rval = 0x01100104, AmbaDSP_ImgExecuterUnitWindowCalc.c, exe_win_calc(), ID = 5, description : null-ptr fail case
Rval = 0x01100104, AmbaDSP_ImgExecuterUnitWindowCalc.c, exe_win_calc(), ID = 6, description : stitching fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWindowCalc.c, exe_win_calc(), ID = 7, description : OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWindowCalc.c, exe_win_calc(), ID = 8, description : OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWindowCalc.c, exe_win_calc(), ID = 9, description : OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitWindowCalc.c, exe_win_calc(), ID = 10, description : OK case
Rval = 0x01100205, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_calib_cr(), ID = 11, description : ring buffer fail case
Rval = 0x01100205, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_calib_cr(), ID = 12, description : ring buffer fail case
Rval = 0x0110020D, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_calib_cr(), ID = 13, description : invalid sensor mode + ir_mode fail case
Rval = 0x0110020D, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_calib_cr(), ID = 14, description : invalid sensor mode + ir_mode fail case
Rval = 0x0110020D, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_calib_cr(), ID = 15, description : invalid sensor mode + ir_mode fail case
Rval = 0x01100205, AmbaDSP_ImgExecuterUnitConfig.c, warp_flow_table_op_u32(), ID = 16, description : (compare2 == 1U) false case
Rval = 0x01100205, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_hdr_ce_cr(), ID = 17, description : ring buffer fail case
Rval = 0x0110020D, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_hdr_ce_cr(), ID = 18, description : decompand + compression offset fail case
Rval = 0x01100004, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_hdr_ce_cr(), ID = 19, description : ability fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_hdr_ce_cr(), ID = 20, description : exposure number fail case
Rval = 0x01100205, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_cfa_cr(), ID = 21, description : ring buffer fail case
Rval = 0x01100205, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_rgb_cr(), ID = 22, description : ring buffer fail case
Rval = 0x01100205, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_rgb_cr(), ID = 23, description : ring buffer fail case
Rval = 0x01100205, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_rgb_cr(), ID = 24, description : ring buffer fail case
Rval = 0x01100205, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_yuv_cr(), ID = 25, description : ring buffer fail case
Rval = 0x01100205, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_yuv_cr(), ID = 26, description : ring buffer fail case
Rval = 0x01100205, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_yuv_cr(), ID = 27, description : ring buffer fail case
Rval = 0x0110020D, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_yuv_cr(), ID = 28, description : invalid burst tile mode + dram_efficiency fail case
Rval = 0x01100205, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_hdr_ce_sub_cr(), ID = 29, description : ring buffer fail case
Rval = 0x01100004, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_hdr_ce_sub_cr(), ID = 30, description : ability fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_hdr_ce_sub_cr(), ID = 31, description : exposure number fail case
Rval = 0x01100205, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_hdr_ce_sub_cr(), ID = 32, description : exposure number fail case
Rval = 0x01100205, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_mctf_mcts_cr(), ID = 33, description : ring buffer fail case
Rval = 0x01100008, AmbaDSP_ImgExecuterUnitConfig.c, exe_process_mctf_mcts_cr(), ID = 34, description : mctf check fail case
Rval = 0x01100005, AmbaDSP_ImgExecuterUnitConfig.c, exe_query_calc_geo_buf_size(), ID = 35, description : null-ptr fail case
Rval = 0x01100005, AmbaDSP_ImgExecuterUnitConfig.c, exe_calc_geo_settings(), ID = 36, description : null-ptr fail case
Rval = 0x01100005, AmbaDSP_ImgExecuterUnitConfig.c, exe_calc_geo_settings(), ID = 37, description : null-ptr fail case
Rval = 0x01100007, AmbaDSP_ImgExecuterUnitConfig.c, exe_calc_geo_settings(), ID = 38, description : null-ptr fail case
Rval = 0x01100007, AmbaDSP_ImgExecuterUnitConfig.c, exe_calc_geo_settings(), ID = 39, description : null-ptr fail case
Rval = 0x01100007, AmbaDSP_ImgExecuterUnitConfig.c, exe_calc_geo_settings(), ID = 40, description : null-ptr fail case
Rval = 0x01100008, AmbaDSP_ImgExecuterUnitConfig.c, exe_calc_geo_settings(), ID = 41, description : invalid ability fail case
Rval = 0x01100007, AmbaDSP_ImgExecuterUnitConfig.c, exe_calc_geo_settings(), ID = 42, description : invalid geometry fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, exe_calc_geo_settings(), ID = 43, description : OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterUnitConfig.c, exe_calc_geo_settings(), ID = 44, description : OK case
Rval = 0x01100104, AmbaDSP_ImgExecuterUnitConfig.c, exe_calc_geo_settings(), ID = 45, description : window calculate fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_inject_safety_error(), ID = 46, description : ring buffer fail case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, img_exe_inject_safety_error(), ID = 47, description : ctx-id fail case
Rval = 0x01100008, AmbaDSP_ImgExecuterComponentIF.c, img_exe_inject_safety_error(), ID = 48, description : invalid params fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_inject_safety_error(), ID = 49, description : ring buffer fail case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, img_exe_init_safety_executer(), ID = 50, description : ctx-id fail case
Rval = 0x01100005, AmbaDSP_ImgExecuterComponentIF.c, img_exe_query_frame_info(), ID = 51, description : null-ptr fail case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, img_exe_query_frame_info(), ID = 52, description : ctx-id fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_query_frame_info(), ID = 53, description : invalid ik-id fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_query_frame_info(), ID = 54, description : null flow_tbl_list content fail case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, img_exe_init_executer(), ID = 55, description : ctx-id fail case
Rval = 0x01100002, AmbaDSP_ImgExecuterComponentIF.c, img_exe_init_executer(), ID = 56, description : non-init fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_init_executer(), ID = 57, description : invalid pipe fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, img_exe_init_executer(), ID = 58, description : invalid pipe fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_query_frame_info_check_run_num(), ID = 59, description : running number fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_query_frame_info_check_run_num(), ID = 60, description : running number fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_query_frame_info_check_run_num(), ID = 61, description : running number OK case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_query_frame_info_check_run_num(), ID = 62, description : running number fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_query_frame_info_check_run_num(), ID = 63, description : running number fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_clone_flow_control_and_tbl_list(), ID = 64, description : ctx-id fail case
Rval = 0x01100005, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_flow_control_index(), ID = 65, description : null-ptr fail case
Rval = 0x01100005, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index(), ID = 66, description : null-ptr fail case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index(), ID = 67, description : ctx-id fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part1(), ID = 68, description : if (p_update_flag->iso.sensor_information_updated != 0U) case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part1(), ID = 69, description : if((non_equal_op_u32(p_update_flag->iso.calib_warp_info_updated, 0U) + non_equal_op_u32(p_update_flag->iso.warp_internal_updated, 0U)) != 0U) true OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part2(), ID = 70, description : if (p_update_flag->iso.dgain_sat_lvl_updated  != 0U) case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part2(), ID = 71, description : if (p_update_flag->iso.pre_cc_gain_updated  != 0U) case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_check_next_cr_index(), ID = 72, description : ctx-id fail case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_cr_utilities(), ID = 73, description : hdr_1x OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_compute_hdr_1x_cr(), ID = 74, description : hdr_1x OK case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_cr_utilities(), ID = 75, description : video pipe fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_cr_utilities(), ID = 76, description : pipe fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_cmpt_invalid_cr_utility(), ID = 77, description : invalid execute utility fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_cmpt_invalid_cr_utility(), ID = 78, description : invalid execute utility fail case
Rval = 0x01100003, AmbaDSP_ImgExecuterComponentIF.c, exe_set_flow_header(), ID = 79, description : ctx-id fail case
Rval = 0x01100000, AmbaDSP_ImgExecuterComponentIF.c, exe_clean_flow_ctrl_cache_sec2(), ID = 80, description : wron cr_id fail case
