Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_buffer_hdr_address(), ID = 0, description : test case FILTER_RAW_COMPRESSION CR update OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_buffer_yuv_address(), ID = 1, description : test case FILTER_CHROMA_DOWNSAMPLING_FILTER CR update OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_buffer_yuv_address(), ID = 2, description : test case FILTER_ME_RESAMPLING_FILTER CR update OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_buffer_yuv_address(), ID = 3, description : test case FILTER_LUMA_PRIVACY_MASK CR update OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_buffer_yuv_address(), ID = 4, description : test case FILTER_CHROMA_PRIVACY_MASK CR update OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_buffer_yuv_address(), ID = 5, description : test case FILTER_ME_RESAMPLING_2X CR update OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part1(), ID = 6, description : test (p_update_flag->iso.af_stat_ex_info_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part1(), ID = 7, description : test (p_update_flag->iso.pg_af_stat_ex_info_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part1(), ID = 8, description : test (p_update_flag->iso.histogram_info_update != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part1(), ID = 9, description : test (p_update_flag->iso.histogram_info_pg_update != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part1(), ID = 10, description : test (p_update_flag->iso.static_bpc_internal_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part1(), ID = 11, description : test (p_update_flag->iso.vignette_compensation_internal_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part1(), ID = 12, description : test (p_update_flag->iso.warp_internal_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part1(), ID = 13, description : test (p_update_flag->iso.warp_buf_info_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part1(), ID = 14, description : test (p_update_flag->iso.calib_ca_warp_info_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part1(), ID = 15, description : test (p_update_flag->iso.cawarp_internal_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part1(), ID = 16, description : (p_update_flag->iso.calib_warp_info_updated != 0u) true OK case
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part2(), ID = 17, description : test (p_update_flag->iso.sensor_information_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part2(), ID = 18, description : test (p_update_flag->iso.rgb_ir_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part2(), ID = 19, description : test (p_update_flag->iso.dgain_sat_lvl_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part2(), ID = 20, description : test (p_update_flag->iso.pre_cc_gain_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 21, description : test (p_update_flag->iso.advance_spatial_filter_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 22, description : test (p_update_flag->iso.fstshpns_fir_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 23, description : test (p_update_flag->iso.fstshpns_both_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 24, description : test (p_update_flag->iso.fstshpns_noise_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 25, description : test (p_update_flag->iso.fstshpns_coring_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 26, description : test (p_update_flag->iso.fstshpns_coring_index_scale_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 27, description : test (p_update_flag->iso.fstshpns_min_coring_result_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 28, description : test (p_update_flag->iso.fstshpns_max_coring_result_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 29, description : test (p_update_flag->iso.fstshpns_scale_coring_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 30, description : test (p_update_flag->iso.internal_video_mctf_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 31, description : test (p_update_flag->iso.video_mctf_ta_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 32, description : test (p_update_flag->iso.fnlshpns_both_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 33, description : test (p_update_flag->iso.fnlshpns_noise_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 34, description : test (p_update_flag->iso.fnlshpns_fir_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 35, description : test (p_update_flag->iso.fnlshpns_coring_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 36, description : test (p_update_flag->iso.fnlshpns_coring_index_scale_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 37, description : test (p_update_flag->iso.fnlshpns_min_coring_result_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 38, description : test (p_update_flag->iso.fnlshpns_max_coring_result_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 39, description : test (p_update_flag->iso.fnlshpns_scale_coring_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 40, description : test (p_update_flag->iso.fnlshpns_both_tdt_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 41, description : test (p_update_flag->iso.video_mctf_and_final_sharpen_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 42, description : test (p_update_flag->iso.wide_chroma_filter != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part3(), ID = 43, description : test (p_update_flag->iso.wide_chroma_filter_combine != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part4(), ID = 44, description : test (p_update_flag->iso.exp1_fe_static_blc_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part4(), ID = 45, description : test (p_update_flag->iso.exp2_fe_static_blc_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part4(), ID = 46, description : test (p_update_flag->iso.exp1_fe_wb_gain_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part4(), ID = 47, description : test (p_update_flag->iso.exp2_fe_wb_gain_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part4(), ID = 48, description : test (p_update_flag->iso.ce_input_table_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index_part4(), ID = 49, description : test (p_update_flag->iso.ce_out_table_updated != 0U) OK
Rval = 0x00000000, AmbaDSP_ImgExecuterComponentIF.c, exe_get_next_cr_index(), ID = 50, description : test (p_update_flag->iso.dmy_range_updated != 0U) OK
