Rval = 0x00000000, idspdrv_aaa.c, uint_min(), ID = 0, description : test if (x > y) false OK case
Rval = 0x00000000, idspdrv_aaa.c, idspdrv_setup_aaa_cfa_awb_tile_info(), ID = 1, description : test while((awb_tile_num_col * p_aaa_setup->total_slices_x * 4u) > p_aaa_setup->slice_width) true OK case
Rval = 0x00000000, idspdrv_aaa.c, idspdrv_setup_aaa_cfa_ae_tile_info(), ID = 2, description : test (p_aaa_setup->slice_width == 1920UL) false OK case
Rval = 0x00000000, idspdrv_aaa.c, idspdrv_setup_aaa_cfa_ae_tile_info(), ID = 3, description : test (p_aaa_setup->ae_tile_col_start == 0UL) false OK case
Rval = 0x00000000, idspdrv_aaa.c, idspdrv_setup_aaa_cfa_af_tile_info(), ID = 4, description : test (p_aaa_setup->slice_width == 1920UL) false OK case
Rval = 0x00000000, idspdrv_aaa.c, idspdrv_setup_aaa_cfa_af_tile_info(), ID = 5, description : test (p_aaa_setup->af_tile_col_start == 0UL) false OK case
Rval = 0x00000000, idspdrv_aaa.c, idspdrv_setup_aaa_cfa_af_tile_info(), ID = 6, description : test (p_aaa_data[stitch_idx].cfa_af.af_tile_width == (80U - 1U)) false OK case
Rval = 0x00000000, idspdrv_aaa.c, idspdrv_setup_aaa_cfa_af_tile_info(), ID = 7, description : test (p_aaa_setup->slice_width == 1920UL) false OK case
Rval = 0x00000000, idspdrv_aaa.c, idspdrv_setup_aaa_ae_tile_info(), ID = 8, description : test (p_aaa_setup->ae_tile_col_start == 0UL) false OK case
Rval = 0x00000000, idspdrv_aaa.c, idspdrv_setup_aaa_af_tile_info(), ID = 9, description : test if(p_aaa_setup->pg_af_tile_num_col == AF_TILE_COL_COUNT) false OK case
Rval = 0x00000000, idspdrv_aaa.c, idspdrv_setup_aaa_af_tile_info(), ID = 10, description : test if(p_aaa_setup->pg_af_tile_width == 170UL) true OK case
Rval = 0x00000000, idspdrv_aaa.c, idspdrv_setup_aaa_af_tile_info(), ID = 11, description : test (p_aaa_setup->slice_width == 1920UL) false OK case
Rval = 0x00000000, idspdrv_aaa.c, idspdrv_setup_aaa_af_tile_info(), ID = 12, description : test (p_aaa_setup->pg_af_tile_col_start == 0UL) false OK case
Rval = 0x00000000, idspdrv_aaa.c, idspdrv_setup_aaa_af_tile_info(), ID = 13, description : test (p_aaa_data[stitch_idx].pg_af.af_tile_width == (80U - 1U)) false OK case
Rval = 0x00000000, idspdrv_aaa.c, idspdrv_setup_aaa_af_tile_info(), ID = 14, description : test (p_aaa_setup->slice_width == 1920UL) false OK case
