Comment,Name,Value
/* AQ clocks */,,
,SVC_CLK_L0_CORE,(636000000U)
,SVC_CLK_L0_IDSP,(588000000U)
,SVC_CLK_L0_VPU,(756000000U)
,SVC_CLK_L0_SPU,(444000000U)
/* AX clocks */,,
,SVC_CLK_L1_CORE,(792000000U)
,SVC_CLK_L1_IDSP,(792000000U)
,SVC_CLK_L1_VPU,(828000000U)
,SVC_CLK_L1_SPU,(600000000U)
/* Board Type */,,
,SVC_BOARD_BUB,(1U)
/* I2S0 */,,
,SOC_I2S0_EXIST,(1U)
,GPIO_PIN_I2S0_CLK,(GPIO_PIN_48_I2S0_CLK)
,GPIO_PIN_I2S0_SI,(GPIO_PIN_49_I2S0_SI_0)
,GPIO_PIN_I2S0_SO,(GPIO_PIN_50_I2S0_SO_0)
,GPIO_PIN_I2S0_WS,(GPIO_PIN_53_I2S0_WS)
/* I2S1 */,,
,SOC_I2S1_EXIST,(1U)
,GPIO_PIN_I2S1_CLK,(GPIO_PIN_44_I2S1_CLK)
,GPIO_PIN_I2S1_SI,(GPIO_PIN_45_I2S1_SI)
,GPIO_PIN_I2S1_SO,(GPIO_PIN_46_I2S1_SO)
,GPIO_PIN_I2S1_WS,(GPIO_PIN_47_I2S1_WS)
/* SD */,,
,GPIO_PIN_SD0_RST,(GPIO_PIN_109_SD0_RESET)
/* Audio Codec */,,
,AUD_CODEC0_EXIST,(1U)
,AUD_CODEC0_I2C_CH,(AMBA_I2C_CHANNEL3)
,AUD_CODEC0_I2C_ADDR,(AK4951_I2C_ADDR)
,AUD_CODEC0_I2C_SPEED,(AMBA_I2C_SPEED_FAST)
,AUD_CODEC0_IN,(AUCODEC_DMIC_IN)
,AUD_CODEC0_OUT,(AUCODEC_SPEAKER_OUT)
,AUD_CODEC0_DRV,(&AmbaAudio_AK4951Obj)
/* CANBUS */,,
,AMBA_INT_SPI_CAN,(AMBA_INT_SPI_ID118_CAN0)
/* ETH */,,
,ENET_GTX_CLK_POL,(0x0CU)
,AHB_SCRATCHPAD_BASE,(AMBA_CORTEX_A53_SCRATCHPAD_S_BASE_ADDR)
/* CV */,,
,CVFLOW_TARGET_INPUT_FRAME_RATE_EMR,(12U)
,SVC_CV_OPEN_NET_TEST_SFB,"""refinedet_hd_superdag.sfb"""
/* Clock Feature */,,
,SVCAG_SOC_CLK_FEA_CTRL,(1U)
/* SD */,,
,SVCAG_SD0_DELAY,(0x6541U)
,SVCAG_SD0_CLOCK,(100000000U)
/* REC BLENDING (Alpha blending = 0; CLUT = 1 */,,
,SVC_REC_BLEND_BEHAVIOR,(0U)
/* STILL DECODE DISPLAY YUV FORMAT */,,
,SVCAG_SDEC_DISP_FORMAT,(AMBA_DSP_YUV420)
/* SPI-NAND Pins */,,
,SVCAQ_NAND_SPI_CLK,(GPIO_PIN_71_NAND_SPI_CLK)
,SVCAQ_NAND_SPI_DATA0,(GPIO_PIN_84_NAND_SPI_DATA0)
,SVCAQ_NAND_SPI_DATA1,(GPIO_PIN_85_NAND_SPI_DATA1)
,SVCAQ_NAND_SPI_DATA2,(GPIO_PIN_86_NAND_SPI_DATA2)
,SVCAQ_NAND_SPI_DATA3,(GPIO_PIN_87_NAND_SPI_DATA3)
,SVCAQ_NAND_SPI_CS,(GPIO_PIN_93_NAND_SPI_EN0)
/* EMMC Pins */,,
,SVCAQ_EMMC_HS_SEL,(GPIO_PIN_162_SD0_HS_SEL)
,SVCAQ_EMMC_RESET,(GPIO_PIN_109_SD0_RESET)
/* WDT */,,
,WDT_TIMEOUT,(6000U)
,WDT_TIMEOUT_TOLERANCE,(500U)
/* Timing tolerance in ms */,,
,SVC_TIME_STD_BLD_WAIT_KEY,(50U)
,SVC_TIME_STD_BLD2_LOAD,(50U)
,SVC_TIME_STD_R52SYS_LOAD,(100U)
,SVC_TIME_STD_ATF_LOAD,(15U)
,SVC_TIME_STD_SYSSW_LOAD_NAND,(500U)
,SVC_TIME_STD_SYSSW_LOAD_EMMC,(500U)
,SVC_TIME_STD_SYSSW_LOAD_SPINOR,(500U)
,SVC_TIME_STD_BSS_INIT,(100U)
,SVC_TIME_STD_UCODE_PART_LOAD_NAND,(160U)
,SVC_TIME_STD_UCODE_PART_LOAD_EMMC,(160U)
,SVC_TIME_STD_UCODE_PART_LOAD_SPINOR,(160U)
,SVC_TIME_STD_VIN_CFG_IMX390_MULTI,(70U)
,SVC_TIME_STD_VIN_CFG_DEF,(70U)
,SVC_TIME_STD_VOUT_CFG_DEF,(70U)
,SVC_TIME_STD_DSP_BOOT,(110U)
,SVC_TIME_STD_BSS_SIZE,(200000U)
